"SampleID"	"obsMND"	"expMND"	"fdr"	"Sex"	"Population"	"Superpopulation"	"macroHap"	"FatherID"	"MotherID"	"deltaMother"	"motherObsMND"	"deltaFather"	"fatherObsMND"	"prop"
"HG00551"	0.840511526225234	0.858462777666798	0.634826054316742	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.979089074204996
"HG00552"	0.92779479024452	0.927358604487355	0.999484890075607	"Men"	"PUR"	"AMR"	"A"	"HG01075"	"HG00551"	0.103845409962762	0.840511526225234	4.57383927135422	0.166455246568153	1.00047035284415
"HG00553"	0.797344376372225	0.820033852652105	0.614106045157283	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.972331049253028
"HG00637"	0.855517935392952	0.851339245207954	0.956890391016199	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00490837255362
"HG00638"	0.85564889103052	0.857370013516717	0.999484890075607	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.997992555770481
"HG00639"	0.841048187851316	0.854601264333335	0.765583101759163	"Women"	"PUR"	"AMR"	"A"	"HG00637"	"HG00638"	-0.0170638954041296	0.85564889103052	-0.016913435642925	0.855517935392952	0.984141052619912
"HG00640"	0.854422478702875	0.844518523391529	0.816702683162471	"Men"	"PUR"	"AMR"	"B"	"0"	"0"	NA	NA	NA	NA	1.0117273393502
"HG00641"	0.821391484942887	0.798573219952472	0.614106045157283	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	1.02857379188319
"HG00642"	0.845038099166892	0.848169728665291	0.986366860907845	"Men"	"PUR"	"AMR"	"C"	"HG00640"	"HG00641"	0.028788482297998	0.821391484942887	-0.0109833013174347	0.854422478702875	0.996307779690125
"HG00731"	0.910437491534607	0.910065057000085	0.999484890075607	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00040923946223
"HG00732"	0.880099391781635	0.88139332383768	0.999484890075607	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.998531947064891
"HG00733"	0.909075446700326	0.909870778632231	0.999484890075607	"Women"	"PUR"	"AMR"	"A"	"HG00731"	"HG00732"	0.0329236165702074	0.880099391781635	-0.00149603333226644	0.910437491534607	0.999125884740357
"HG00734"	0.7886882503442	0.76968736864494	0.678562727031521	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	1.02468649281943
"HG00735"	0.85877466251298	0.880829235428229	0.614106045157283	"Women"	"PUR"	"AMR"	"C"	"HG01047"	"HG00734"	0.0888645318834072	0.7886882503442	-0.0257613151549757	0.881482819222672	0.974961579352522
"HG00736"	0.897869752262276	0.906675932389345	0.809463858759013	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.990287400588805
"HG00737"	0.90923706677079	0.885172723875251	0.334719273491547	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	1.02718604205311
"HG00738"	0.860357873348528	0.855910009925391	0.956890391016199	"Men"	"PUR"	"AMR"	"C"	"HG00736"	"HG00737"	-0.0537584698299416	0.90923706677079	-0.0417787533428238	0.897869752262276	1.00519664844617
"HG01047"	0.881482819222672	0.892434068024161	0.775523041097697	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.987728786703835
"HG01048"	0.850551486065505	0.85641770100585	0.914631946445735	"Men"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.993150287606788
"HG01054"	0.83663122362495	0.833782375095842	0.988780509606966	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00341677710419
"HG01060"	0.887244721356871	0.876576691917982	0.798261337546992	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.01217010392502
"HG01061"	0.863851975328662	0.870689910791743	0.914631946445735	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.992146531872796
"HG01062"	0.894080996884735	0.881216498381338	0.700914064398489	"Women"	"PUR"	"AMR"	"A"	"HG01060"	"HG01061"	0.0349932886876502	0.863851975328662	0.00770506193309244	0.887244721356871	1.01459856746557
"HG01066"	0.867667586342272	0.886739176608251	0.614106045157283	"Men"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.978492446517445
"HG01067"	0.843307646062196	0.850976438678252	0.870778083723443	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.990988243307925
"HG01068"	0.875389408099688	0.8919961916878	0.647293294123862	"Women"	"PUR"	"AMR"	"C"	"HG01066"	"HG01067"	0.038042773817239	0.843307646062196	0.00889951621907173	0.867667586342272	0.981382450123818
"HG01069"	0.830455422044207	0.823217260687917	0.914631946445735	"Men"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	1.00879252865792
"HG01070"	0.796635023817826	0.815101743709973	0.678562727031521	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.977344276300901
