"SampleID"	"obsMND"	"expMND"	"fdr"	"Sex"	"Population"	"Superpopulation"	"macroHap"	"FatherID"	"MotherID"	"deltaMother"	"motherObsMND"	"deltaFather"	"fatherObsMND"	"prop"
"HG00551"	0.84891819797912	0.84968691182987	0.989526681022476	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.999095297526598
"HG00552"	0.890809080713538	0.886295827786734	0.935071711845262	"Men"	"PUR"	"AMR"	"A"	"HG01075"	"HG00551"	0.0493461947619222	0.84891819797912	4.62683764066959	0.158314338817058	1.00509226466526
"HG00553"	0.804155461476333	0.813756128985575	0.840552856846156	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.988202033548786
"HG00637"	0.852133960758607	0.870036130784411	0.562575178230293	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.979423647602239
"HG00638"	0.862429906542057	0.855243791074228	0.904541442426065	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00840241758295
"HG00639"	0.898897225906899	0.897319145943022	0.984353102267515	"Women"	"PUR"	"AMR"	"A"	"HG00637"	"HG00638"	0.0422843863463167	0.862429906542057	0.0548778329485444	0.852133960758607	1.00175866075188
"HG00640"	0.849428868120457	0.865173458224713	0.670980495128359	"Men"	"PUR"	"AMR"	"B"	"0"	"0"	NA	NA	NA	NA	0.981801811007283
"HG00641"	0.867772314060803	0.863287089298759	0.94446696768884	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	1.00519551933261
"HG00642"	0.830988316976085	0.830459843345064	0.984353102267515	"Men"	"PUR"	"AMR"	"C"	"HG00640"	"HG00641"	-0.0423889959251932	0.867772314060803	-0.0217093529975929	0.849428868120457	1.00063636265529
"HG00731"	0.913811007268951	0.906006620453782	0.830136782110538	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.0086140505367
"HG00732"	0.838222397919393	0.847949772011533	0.830136782110538	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.988528360507645
"HG00733"	0.859849299673857	0.849739534155269	0.830136782110538	"Women"	"PUR"	"AMR"	"A"	"HG00731"	"HG00732"	0.0258009113191745	0.838222397919393	-0.0590512777432682	0.913811007268951	1.01189748753851
"HG00734"	0.7331256490135	0.756956893165499	0.562575178230293	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.968517039256569
"HG00735"	0.791803515141707	0.789749319356045	0.984353102267515	"Women"	"PUR"	"AMR"	"C"	"HG01047"	"HG00734"	0.0800379392088727	0.7331256490135	-0.10587187841767	0.885559346618537	1.0026010731954
"HG00736"	0.886922181314705	0.882191656063357	0.936131424103806	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00536224211466
"HG00737"	0.88697357793931	0.884346462740483	0.983641918028665	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	1.00297068548302
"HG00738"	0.892325268444015	0.873785440410963	0.545752704658371	"Men"	"PUR"	"AMR"	"C"	"HG00736"	"HG00737"	0.00603365267896544	0.88697357793931	0.00609195174406536	0.886922181314705	1.02121782668332
"HG01047"	0.885559346618537	0.903029568360774	0.562575178230293	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.980653765552827
"HG01048"	0.872274143302181	0.878974200077533	0.904541442426065	"Men"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.992377413609226
"HG01054"	0.824838860320321	0.837723110377248	0.814817011327328	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.9846199180883
"HG01060"	0.887417791623399	0.885571060424202	0.984353102267515	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00208535631044
"HG01061"	0.856278156450316	0.854385261481072	0.984353102267515	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00221550517616
"HG01062"	0.854238399737662	0.859595289027723	0.92698449019364	"Women"	"PUR"	"AMR"	"A"	"HG01060"	"HG01061"	-0.00238211928832759	0.856278156450316	-0.0373886935769459	0.887417791623399	0.993768126281706
"HG01066"	0.867162917728964	0.882750391060364	0.631745596416748	"Men"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.982342150749233
"HG01067"	0.875283805903163	0.875368198269426	0.999013581564619	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.999903592149646
"HG01068"	0.847406678690496	0.84673337810288	0.985210457722732	"Women"	"PUR"	"AMR"	"C"	"HG01066"	"HG01067"	-0.0318492436677749	0.875283805903163	-0.0227826151632599	0.867162917728964	1.00079517426031
"HG01069"	0.844972017432506	0.852416157552465	0.884743299729166	"Men"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.991267011947154
"HG01070"	0.795798391112953	0.818193290941285	0.562575178230293	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.972628839570943
"HG01071"	0.836261025839204	0.845722843605745	0.840552856846156	"Women"	"PUR"	"AMR"	"C"	"HG01069"	"HG01070"	0.0508453336650537	0.795798391112953	-0.0103092071850748	0.844972017432506	0.988812153014337
"HG01072"	0.842721092314967	0.842615928524946	0.984353102267515	"Men"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	1.00012480631621
"HG01079"	0.847580705181476	0.866314285897478	0.562575178230293	"Men"	"PUR"	"AMR"	"B"	"0"	"0"	NA	NA	NA	NA	0.978375537583806
"HG01082"	0.868945126759768	0.849598081935396	0.545752704658371	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.02277199682501
