SampleID	Haplogroup	Overall_Rank
HG00445	R9c1b1	0.7818
HG00446	B4b1	0.6063
HG00448	M7b1a1e2	0.7828
HG00449	R11	0.7379
HG00451	A14	0.7790
HG00452	B4g1b	0.6693
HG00457	M33c	0.7671
HG00458	B5a1c1a	0.7520
HG00463	M20	0.7961
HG00464	F1a1c	0.7612
HG00472	F1c1a1	0.8205
HG00473	D6a	0.7987
HG00475	D5a2a1b	0.7685
HG00476	Z	0.6930
HG00478	D4b2b4	0.7719
HG00479	N9a1	0.7760
HG00500	N9a1'3	0.7112
HG00513	R11b1a	0.8301
HG00524	M7b1a1a3	0.7759
HG00525	M7b1a1+(16192)	0.7717
HG00530	F1d	0.7546
HG00531	N9a4b	0.8405
HG00533	B4d1'2'3	0.6931
HG00534	R9c1a	0.8434
HG00536	R11b1b	0.7732
HG00537	B4a4	0.6878
HG00542	B5a1c1a	0.7575
HG00543	B5a2	0.5740
HG00551	A2z	0.7731
HG00553	A2	0.7590
HG00554	L1b1a3	0.7925
HG00556	N9a11	0.7977
HG00557	A5b1b	0.7218
HG00559	M10a1b	0.7160
HG00560	F1a1	0.7447
HG00565	A+152	0.7524
HG00566	A+152	0.7678
HG00580	D5b1b	0.7994
HG00581	D4j15	0.7204
HG00583	D4a8	0.8608
HG00584	N9a3	0.7502
HG00589	F1a1d	0.7392
HG00590	C7a1	0.7297
HG00592	N9a1	0.8111
HG00593	M7b1a1d1	0.7855
HG00595	D5a2a+16092	0.7772
HG00596	B4c1a1	0.6958
HG00598	G2	0.7497
HG00599	B4a1c4	0.6805
HG00607	M8a2c	0.7591
HG00608	B4a1c5	0.7916
HG00610	B5b	0.7419
HG00611	M7c1a1a	0.7380
HG00613	D4a3b2	0.7844
HG00614	Z3	0.7121
HG00619	D4a3b2	0.7985
HG00620	N9a10	0.7860
HG00622	G2	0.7237
HG00623	B4c1b2	0.6528
HG00625	D4b2b7	0.7873
HG00626	M12a1a	0.8012
HG00628	D5a2a1+@16172	0.7871
HG00629	D4g2a1	0.7474
HG00631	B4g2	0.7125
HG00632	F1a1	0.7308
HG00634	A18	0.8198
HG00637	A2k1	0.8321
HG00638	A2	0.6955
HG00640	B2b3a	0.6938
HG00641	C1b2	0.7304
HG00650	M7b1a1f	0.7043
HG00651	D4+195	0.6889
HG00653	N8	0.7660
HG00654	B4h	0.6176
HG00656	A13	0.7071
HG00657	D5b	0.7956
HG00662	D4b1b	0.7511
HG00663	R9b1a3	0.8040
HG00671	D4i3	0.7346
HG00672	F1d	0.7251
HG00674	F4a1a	0.8442
HG00675	F2a1	0.7938
HG00683	M71a1a	0.8220
HG00684	D5a2a1b	0.7204
HG00689	M7b1a1+(16192)	0.7663
HG00690	B5b2	0.7767
HG00692	M7b1a1+(16192)	0.7728
HG00693	D4b2b2a	0.7577
HG00698	D4e1a3	0.7554
HG00699	D4a7	0.7731
HG00701	M7c1c2	0.7547
HG00704	B4c1b2c2	0.7308
HG00705	F1a'c'f	0.7318
HG00707	F1g	0.8108
HG00708	B5a1c	0.6592
HG00717	F2g	0.7274
HG00728	F1a3	0.7228
HG00729	R0+16189	0.6639
HG00731	A2z	0.8018
HG00732	A2	0.7875
HG00734	C	0.7350
HG00736	A2z	0.7927
HG00737	C	0.7476
HG00739	L3d1'2'3'4'5'6	0.8333
HG00740	L1b1a7a	0.7893
HG00742	C	0.7381
HG00743	C	0.7476
HG00759	M7c2b	0.8078
HG00766	D4b2	0.7846
HG00844	C	0.7875
HG00851	D4b2	0.7846
HG00864	C7a1	0.7161
HG00867	F1a1c	0.7804
HG00879	B5a1a	0.7491
HG00881	D4b2	0.7846
HG00956	F1a1a	0.7525
HG00978	R9b1a2	0.7908
HG00982	B4c2	0.7356
HG01028	M7b1a1a3	0.7942
HG01029	M7b1a1c	0.7346
HG01031	B4c2	0.7094
HG01046	B5a1a	0.7239
HG01047	A2am	0.8011
HG01048	C	0.7476
HG01049	L0a1b1a	0.7980
HG01051	K1a4a1h	0.8300
HG01052	J2a1a1a	0.8685
HG01054	A2	0.7679
HG01055	U5b2b3a	0.8780
HG01058	C1b2	0.7304
HG01060	A2k1	0.8321
HG01061	A2z	0.8233
HG01063	L3e2b	0.7822
HG01064	A2k1	0.8078
HG01066	C1c+195	0.6825
HG01067	C	0.7476
HG01069	C	0.7476
HG01070	C1b4	0.7735
HG01072	C	0.7476
HG01073	L3e1e2	0.8410
HG01075	J1c2e	0.8360
HG01077	A2	0.7590
HG01079	B2b3a	0.6912
HG01080	L1c3b1a	0.8335
HG01082	A2k1	0.8143
HG01083	A2z	0.8233
HG01085	A2k	0.7766
HG01086	C1b4	0.7669
HG01088	B2b3a	0.7031
HG01089	C1b4	0.7712
HG01092	C	0.7331
HG01094	U2e1a1	0.8675
HG01095	L3e1e2	0.8761
HG01097	A2k1	0.8143
HG01098	J1b1a1	0.8473
HG01101	C1b4	0.7735
HG01102	C	0.7476
HG01104	A2k1	0.7890
HG01105	A2k	0.7766
HG01107	A2k1	0.8078
HG01108	L0a1a2	0.7967
HG01110	A2k1	0.8321
HG01111	J1b1a1	0.8473
HG01112	A2ac1	0.7930
HG01113	A2w	0.8098
HG01119	A2w	0.7855
HG01121	A2+(64)	0.7055
HG01122	A2+(64)+@16111	0.8168
HG01124	D4h3a6	0.7806
HG01125	A2w	0.8098
HG01130	B2	0.7059
HG01131	B2	0.6634
