SampleID	Haplogroup	Overall_Rank
HG02330	L3b1a6	0.8148
HG02332	L1c2b1c	0.7970
HG02334	J2b1a	0.8149
HG02337	L2a1e1	0.7986
HG02339	L3d1c	0.7658
HG02343	L1b1a3	0.8028
HG02345	A2+(64)+@16111	0.7510
HG02348	A2+(64)	0.7583
HG02351	B5a1a	0.7449
HG02353	R11b1	0.7301
HG02355	M7b1a1f	0.7602
HG02356	M71+151	0.7505
HG02360	F3a1	0.7967
HG02364	F1a'c'f	0.7897
HG02367	M7b1a1b	0.6897
HG02371	M7c1c2	0.7584
HG02373	R11b1	0.7650
HG02374	B6a1	0.6506
HG02375	F3b+152	0.6988
HG02379	M9a1a	0.7912
HG02380	C	0.7395
HG02382	R9b1a3	0.7038
HG02383	D4g2a1	0.7863
HG02384	M7b1a1b	0.7490
HG02385	B4c2	0.6900
HG02386	B5a	0.6947
HG02389	M7b1a1a3	0.7576
HG02390	M7b1a1a	0.7204
HG02391	M61	0.7558
HG02392	D4j1b	0.8040
HG02394	F1e3	0.7621
HG02395	R0+16189	0.5752
HG02396	M7b1a1a3	0.7568
HG02397	D4b2	0.7846
HG02398	F1a2a	0.8163
HG02399	B4h	0.6117
HG02401	M7b1a1+(16192)	0.7646
HG02402	B4b1a2a	0.6656
HG02406	F1a1	0.7759
HG02407	F2d	0.7780
HG02408	B5a	0.7120
HG02409	R0+16189	0.6083
HG02410	R9b1a1a	0.8252
HG02419	L2a1+143+@16309	0.7826
HG02420	L0a1a2	0.7978
HG02425	B2	0.7340
HG02427	L1c1a+@198	0.7597
HG02429	L2a1+143+16189  (16192)+@16309	0.7776
HG02433	L0a1a2	0.8027
HG02439	L2a1a2b	0.8274
HG02442	L1c2b1a'b	0.7095
HG02445	B4a1a1b	0.7546
HG02449	L3e4a	0.7852
HG02450	L3e2a	0.7661
HG02455	L2a1c5	0.8035
HG02461	L3b1a	0.8068
HG02462	L2c	0.8236
HG02464	L3e4a	0.8036
HG02465	L3b2	0.8097
HG02470	L3b2b	0.7945
HG02471	L3b1a7	0.7714
HG02476	L2a1f1	0.8048
HG02477	L1b1	0.7756
HG02479	L2a1+143+16189  (16192)+@16309	0.7615
HG02481	L2a1f2	0.7859
HG02484	L3d1b2	0.7062
HG02485	H2a	0.6815
HG02489	L2a1b+143	0.7842
HG02490	M5a2a1a1	0.8156
HG02491	HV2	0.6486
HG02493	M6a1b	0.8104
HG02494	U7a3a	0.8345
HG02496	L4b1a	0.7524
HG02497	L2a1i1	0.7984
HG02501	L2a1a	0.8231
HG02502	L2a1c	0.7986
HG02505	L2c1	0.8424
HG02508	L2a1c4a	0.7591
HG02511	A2n	0.7429
HG02512	F1a1	0.7731
HG02513	F1a2a	0.7666
HG02521	N9a1	0.8111
HG02522	M9a4a2	0.7829
HG02536	L2d+16129	0.7704
HG02537	L3e2a	0.7940
HG02541	L3f1b4a	0.8033
HG02545	L2d1	0.8530
HG02546	L2a1c5	0.8111
HG02549	L2a1c5	0.8274
HG02554	L2a1i1	0.8334
HG02555	L2b3c	0.7269
HG02557	L2a1f1	0.7869
HG02558	L3d1'2'3'4'5'6	0.7203
HG02561	L1b2	0.7830
HG02562	L1b1	0.8079
HG02568	L2a1l	0.8294
HG02570	L4b1a	0.7656
HG02571	L1b1a14	0.7912
HG02573	L3e2a3	0.8198
HG02574	L3d2a	0.7995
HG02577	L2a1b1	0.8099
HG02580	L1b1a15	0.7963
HG02582	L3k1	0.7656
HG02583	L3d1a1b	0.7697
HG02585	L3d2b	0.7862
HG02586	L3d1b1b	0.7577
HG02588	L2a1a	0.8026
HG02589	L1b1	0.7822
HG02594	L3b1a	0.8357
HG02595	L2b3c	0.7596
HG02597	M39b1	0.6468
HG02600	R6a2	0.7489
HG02601	M35	0.6716
HG02603	U2b2	0.8211
HG02604	T2d1b	0.7921
HG02610	L3d1'2'3'4'5'6	0.7318
HG02611	L1c1	0.7587
HG02613	L3b1	0.8059
HG02614	L3h1b2	0.8308
HG02620	L2a1l	0.8266
HG02621	U6a3f	0.8102
HG02623	L3b1	0.7472
HG02624	L2c	0.8430
HG02628	L3d1'2'3'4'5'6	0.7729
HG02629	L2a1l	0.8433
HG02634	L3b2b	0.8288
HG02635	L1b1a14	0.8134
HG02642	L2c	0.8430
HG02643	L2c	0.8331
HG02645	L2b3b	0.7500
HG02646	L1b1	0.7799
HG02648	U7a	0.8369
HG02649	T2g	0.7186
HG02651	H13a2a1	0.8342
HG02652	HV13a	0.7387
HG02654	M2a1a	0.7596
HG02655	M2a1a	0.7455
HG02657	R0a2	0.7492
HG02658	M4a	0.7761
HG02660	M33a3	0.7588
HG02661	H2a	0.5616
HG02666	L3e4a	0.7497
HG02667	L2c	0.8082
HG02675	L3d3a	0.8209
HG02676	L2a1a3	0.7996
HG02678	L1b2	0.7639
HG02679	L2a1c	0.8363
HG02681	M5a	0.7725
HG02682	F1c1a	0.7916
HG02684	M3a2	0.7157
HG02685	M49c	0.8037
HG02687	M30	0.7864
HG02688	M4	0.8011
HG02690	M30+16234	0.8131
HG02691	M2a1a	0.8202
HG02694	U7	0.8123
HG02696	F1a1c	0.7962
HG02697	R30b1	0.6529
HG02699	M65b	0.8581
HG02700	M30d1	0.8193
HG02702	L3d1'2'3'4'5'6	0.7758
HG02703	L2c	0.7957
HG02715	L2c	0.8169
HG02716	L2a1l	0.8191
HG02721	L3b1a9a	0.8375
HG02722	L3b2	0.8373
HG02724	U7b	0.8024
HG02725	M6a1b	0.8427
HG02727	M6a1b	0.8190
HG02728	M4"67	0.7335
HG02731	U7a3b	0.7676
HG02733	X2	0.7333
HG02734	W6	0.7516
HG02736	G3b	0.8212
HG02737	G3b	0.8433
HG02756	L2c4	0.8463
HG02757	L2c4	0.8388
HG02759	L2c1	0.8517
HG02760	L2b1a	0.7785
HG02763	U6a5	0.8374
HG02768	L3d1'2'3'4'5'6	0.7861
HG02769	L3e4a	0.8274
HG02771	L3d1'2'3'4'5'6	0.7332
HG02772	L1b1	0.7730
HG02774	R	0.6175
HG02775	U7b	0.8184
HG02778	M6a1b	0.8427
HG02780	M30	0.7851
HG02783	M5a1b	0.7741
HG02784	M5a1b	0.7897
HG02786	M5a1b	0.7868
HG02787	M5a1b	0.8042
HG02789	M6a1b	0.8427
HG02790	R	0.6485
HG02792	M65a+@16311	0.8124
HG02793	M3a1b	0.7565
HG02798	L3d1a1b	0.7518
HG02799	L2d+16129	0.8557
HG02804	L2b3c	0.7405
HG02805	L3h1b2	0.8163
HG02807	L3e2b	0.8577
HG02808	L2a1c	0.7944
HG02810	L3b1a+152	0.8329
HG02811	L1b1a1'4	0.7857
HG02813	L3b2	0.8427
HG02814	L2c	0.8247
HG02816	U6a3f	0.8739
HG02817	L3e3b	0.8230
HG02819	L2a1c2	0.7759
HG02820	L1b2a	0.8031
HG02836	L2c2	0.7813
HG02837	L2b3c	0.7743
HG02839	L3e2a3	0.7729
HG02840	L1b1a1'4	0.7939
HG02851	L2a1c3b	0.8070
HG02852	L2a1a	0.8430
HG02854	L3b1a+@16124	0.7989
HG02855	L1b1a1'4	0.8057
HG02860	L2a1a	0.8294
HG02861	L2a1c3a1	0.7892
HG02870	L2a1a3	0.8096
HG02878	L2c	0.8350
HG02879	L2c	0.7945
HG02881	L2d+16129	0.8403
HG02882	L2c	0.8319
HG02884	U6a5	0.8210
HG02885	L2a1+16189  (16192)	0.8261
HG02887	L2b1a	0.7723
HG02888	L2c	0.8385
HG02890	L3e2a3	0.8045
HG02891	L1b1a1'4	0.7859
HG02895	L2a1c3a1	0.7756
HG02896	L2c	0.8469
HG02922	L2a1a1	0.7984
HG02923	L3f1b1a	0.7837
HG02938	L3e2a	0.7954
HG02941	L2a1a2a1a	0.7928
HG02943	L3e3b	0.7619
HG02944	L3e2a	0.8068
HG02946	L3f1b3	0.7459
HG02947	L3e1a3b	0.7414
HG02952	L2b1b	0.7795
HG02953	L3d2b	0.7957
HG02968	L3e2b	0.7931
HG02970	L2d1a	0.8544
HG02971	L0a1a2	0.8027
HG02973	L3e2b1a2	0.8255
HG02974	L1b1a3	0.8118
HG02976	L3e1a	0.7968
HG02977	L2a1a3c	0.8017
HG02979	L2a1+16189  (16192)	0.7929
HG02981	L0a1a2	0.7654
HG02982	L2b1a	0.7862
HG02983	L1c3a1a	0.7667
HG03006	M5a	0.8575
HG03007	M2b	0.8430
HG03009	HV12b1	0.7197
HG03012	M3c1a	0.8456
HG03015	M5a1b	0.7694
HG03016	M18a	0.8594
HG03018	M6a1b	0.8265
HG03019	M6a1b	0.8427
HG03021	M5a1b	0.8308
HG03022	M6a1b	0.8265
HG03024	L3h1b2	0.8100
HG03025	L3e4a	0.8280
HG03027	L3e2a3	0.7805
HG03028	L2a1	0.8010
HG03039	L3b1a+@16124	0.7937
HG03040	L3d1'2'3'4'5'6	0.7526
HG03045	L3h1b2	0.8123
HG03046	L2b1a	0.7859
HG03048	L2c1	0.8266
HG03049	L2c	0.8130
HG03052	L1b1a1'4	0.7855
HG03054	L3b1	0.8205
HG03055	L3b1	0.7261
HG03057	L1b1	0.7869
HG03058	L1b1a14	0.7740
HG03060	U6a3	0.8407
HG03061	L3e2b1a	0.8433
HG03063	L0a1a+200	0.7990
HG03064	L2a1i	0.8062
HG03066	L1b2a	0.7942
HG03069	L2c2	0.8410
HG03072	L2c	0.8165
HG03073	L1b1	0.7986
HG03074	L2c	0.8498
HG03077	L1c1d	0.7905
HG03078	L2a1c	0.7601
HG03079	L1b1a18	0.7867
HG03081	L3e4a	0.8280
HG03082	L3e3b	0.7809
HG03084	L0a1a+200	0.7730
HG03085	L2a1l	0.8153
HG03086	L3b3	0.8364
HG03088	L2a1c3b1	0.7778
HG03091	L2c	0.8322
HG03095	L3b1a	0.8516
HG03096	L1c1	0.7650
HG03097	L2a1l	0.8406
HG03099	L1b1	0.7720
HG03100	L3d1'2'3'4'5'6	0.7583
HG03103	L1b1a15	0.8060
HG03105	L3e3b	0.8121
HG03108	L3b1a	0.7693
HG03109	L1b1a3	0.7938
HG03111	L3f1b3	0.7539
HG03112	L1b1a3	0.8118
HG03114	L2a1a2c	0.8211
HG03115	L3e2b1a2	0.8483
HG03117	L2a1c1	0.8097
HG03118	L3e1	0.8057
HG03120	L1b1a3	0.7890
HG03121	L2a1+143+16189  (16192)	0.8210
HG03123	L2a1a2	0.8198
HG03124	L3b1a	0.7739
HG03126	L3e1a3b	0.7983
HG03127	L0a1a2	0.8314
HG03129	L3d2a	0.8306
HG03130	L2e1a	0.8104
HG03132	L2a1b1	0.7903
HG03133	L1c2b1c	0.8050
HG03135	L2a1f1	0.8217
HG03136	L1b1a3	0.7745
HG03139	L4b2b	0.7530
HG03157	L2c2a1	0.8430
HG03159	L2a1+143+16189  (16192)+@16309	0.8335
HG03160	L3e2b	0.8544
HG03162	L3f1b+16292+150	0.7378
HG03163	L2a1f1	0.8118
HG03166	L1b1a3b	0.7971
HG03168	L1c2a1	0.7596
HG03169	L2a1a3c	0.8239
HG03172	L3f1b1a	0.7828
HG03175	L3e2a	0.8366
HG03189	L4b2b	0.7316
HG03190	L3e1a	0.7771
HG03193	L3f1b1a	0.7996
HG03195	L3e2b	0.8811
HG03196	L3e1	0.8200
HG03198	L3d5a	0.8055
HG03199	L2a1+16189  (16192)	0.8261
HG03202	L2a1b1	0.8013
HG03209	L2e	0.7793
HG03212	L3e4a	0.8077
HG03224	L3d2	0.7508
HG03225	L2c	0.7911
HG03228	W1c	0.8365
HG03229	M3a2	0.7251
HG03234	M52a	0.7538
HG03235	H+73	0.6028
HG03237	M30g	0.8057
HG03238	J1	0.8359
HG03240	L2e	0.7938
HG03241	L3d1a1b	0.7480
HG03246	L3b1a+@16124	0.8234
HG03247	L3d2a	0.8051
HG03258	U6a5	0.7978
HG03259	L4b1a	0.7702
HG03265	L3d5a	0.8123
HG03267	L0a1a2	0.7991
HG03268	L0a1a2	0.7991
HG03270	L1b1a18	0.8135
HG03271	L1c2b1b	0.7649
HG03279	L2d1	0.8216
HG03280	L3e2b	0.8191
HG03291	L2b1a	0.7852
HG03294	L3b1	0.7709
HG03295	L1b1	0.7942
HG03297	L2a1f1	0.7990
HG03298	L0a1a2	0.7830
HG03300	L1c2b1a'b	0.7775
HG03301	L3e2a	0.7975
HG03303	L3f1b4c	0.7853
HG03304	L3e2b	0.8416
HG03311	L1b1	0.7778
HG03313	L1c2a2	0.7717
HG03342	L2a1+143+16189  (16192)	0.8083
HG03343	L1c3a	0.7859
HG03351	L1b1	0.7778
HG03352	L3e2b1a	0.8618
HG03354	L2c2b1a	0.8445
HG03363	L1c2b1b	0.7388
HG03366	L3d1'2'3'4'5'6	0.7436
HG03367	L2e1a	0.8064
HG03369	L3e3b	0.7983
HG03370	L3b1a	0.7920
HG03372	L3e3b	0.7645
HG03376	L2c	0.8082
HG03378	L3e3b	0.7579
HG03380	L1c1b'd	0.7186
HG03382	L2a1l1b	0.8373
HG03385	L1c1c	0.7257
HG03388	L2c2	0.7901
HG03391	L1c1b'd	0.7202
HG03394	L3b1a6	0.8000
HG03397	L1c1d	0.7822
HG03401	L2a1l	0.7808
HG03410	L2a1a1	0.8206
HG03419	L3e2b	0.8555
HG03428	L2a1l1b	0.7925
HG03432	L2a1i	0.8198
HG03433	L2c	0.8378
HG03436	L1b1a14	0.7641
HG03437	L2d1	0.8505
HG03439	L3f1b+16292	0.7751
HG03442	L1b1a10	0.7877
HG03445	L3d1'2'3'4'5'6	0.7648
HG03446	L3b1a	0.8079
HG03449	L2a1c2a	0.8030
HG03451	L2c	0.8210
HG03452	L2a1+143+@16309	0.8370
HG03455	L2c	0.8378
HG03457	L2a1l1b	0.8068
HG03458	L4b1a	0.8137
HG03460	L2a1a1	0.8157
HG03461	L2a1i	0.7746
HG03464	L1c1	0.7790
HG03469	L1b1a14	0.7923
HG03470	L1b1a14	0.8137
HG03472	L2b1a4	0.7444
HG03473	L2c	0.8327
HG03476	L2c	0.7977
HG03478	L3e2a	0.7988
HG03479	U6a3f	0.7853
HG03484	L2c	0.8281
HG03485	L2a1l	0.8021
HG03488	M38a	0.6883
HG03490	F1b1c	0.7520
HG03491	R6a2	0.7610
HG03499	L1c2a	0.7867
HG03511	L3e2b	0.8405
HG03514	L2a1	0.8295
HG03515	L2b1a	0.7899
HG03517	L0a1a2	0.7944
HG03518	L3d1c	0.8466
HG03520	L3e1	0.7714
HG03521	L3b1a	0.7854
HG03538	U6a5	0.8374
HG03539	L2a1a3	0.7856
HG03547	L2a1l	0.7962
HG03548	L2a1a1	0.8169
HG03556	L3e4a	0.8280
HG03557	L2a1c3	0.8099
HG03558	L3h1b1a	0.7932
HG03559	L3d1'2'3'4'5'6	0.7620
HG03563	L2a1a2a1	0.8038
HG03565	L3b1a	0.8309
HG03567	L3d1b3a	0.7667
HG03571	L2a1c3	0.8099
HG03572	L3e2b	0.8200
HG03575	L2a1f1	0.7844
HG03577	L3e2a	0.7561
HG03578	L2a1a1	0.8043
HG03583	L3h1b1a	0.7538
HG03585	M2a1a	0.7356
HG03589	M5a	0.8464
HG03593	M41a1	0.7869
HG03594	M91a	0.7506
HG03595	M49c	0.7663
HG03598	M30c	0.7899
HG03600	M30d1	0.8600
HG03603	U2b2	0.8434
HG03604	R6a2	0.8234
HG03607	M4"67+16311	0.7914
HG03611	M	0.6586
HG03615	M35b+16304	0.8010
HG03616	M3	0.8098
HG03619	U2c1b	0.7403
HG03624	M5a2a	0.7955
HG03625	T2	0.6744
HG03629	R5a2a	0.7926
HG03631	M43b	0.8460
HG03634	M33d	0.8133
HG03636	M3	0.7657
HG03640	M4"67	0.7454
HG03642	M33a2a	0.7571
HG03643	M81	0.7219
HG03644	M5b'c	0.7491
HG03645	R30a1c	0.7357
HG03646	M18a	0.8500
HG03649	M5a2a1a1	0.7927
HG03652	M52b1	0.7944
HG03653	U2a2	0.7321
HG03660	M30	0.8078
HG03663	M18a	0.8050
HG03667	R5a2	0.7577
HG03668	M3	0.6638
HG03672	M18'38	0.7454
HG03673	M4"67	0.6711
HG03679	R30b2a	0.7482
HG03680	R30b2a	0.7133
HG03681	U7a	0.8162
HG03684	M2b	0.7506
HG03685	R5	0.6739
HG03686	M3	0.8311
HG03687	M4a	0.7230
HG03689	R6b	0.7623
HG03690	M30d1	0.7915
HG03691	U2c1a	0.7762
HG03692	H13a2a	0.7934
HG03693	M30	0.8039
HG03694	U2b2	0.7922
HG03695	U2b	0.7656
HG03696	U7a3a	0.7898
HG03697	M35a	0.7966
HG03698	N1a2	0.8061
HG03702	M38a	0.7398
HG03703	U2b2	0.7836
HG03705	M6	0.7404
HG03706	R	0.6485
HG03708	M5a	0.7587
HG03709	M6a1a	0.8003
HG03711	U7a	0.8162
HG03713	M6a1b	0.7965
HG03714	R30b2a	0.6899
HG03716	M30	0.8381
HG03717	M3a2	0.7861
HG03718	M65b	0.8065
HG03720	M4a	0.8171
HG03722	M6a1a	0.7925
HG03727	I	0.7939
HG03729	R5a2	0.8468
HG03730	M18a	0.8088
HG03731	M35a	0.8321
HG03733	M52a	0.6719
HG03736	R8b1a	0.7808
HG03738	R31b	0.7759
HG03740	M44a	0.7912
HG03741	R7	0.6686
HG03742	U2a1b	0.8021
HG03743	M2	0.7029
HG03744	J1+16193	0.8383
HG03745	M3	0.7978
HG03746	M4a	0.8001
HG03750	R31b	0.7759
HG03752	M4"67+16311	0.7380
HG03753	M4"67+16311	0.7380
HG03754	U2b	0.7090
HG03755	R31b	0.7612
HG03756	M6a1a	0.8113
HG03757	M53	0.7314
HG03760	R5a2b	0.8468
HG03762	R5a1	0.7949
HG03765	M18a	0.8328
HG03767	U2b	0.7380
HG03770	R5a2b	0.7862
HG03771	M40a1	0.8231
HG03772	M3a2	0.7813
HG03773	M3a2	0.7813
HG03774	M6a1b	0.7667
HG03775	M52a1b	0.7841
HG03777	U9a1	0.7850
HG03778	W3a1	0.8391
HG03779	M45a	0.7596
HG03780	U1a1a1a	0.8210
HG03781	M3d1	0.8450
HG03782	M30	0.8078
HG03784	T2	0.7682
HG03785	W3a1b	0.8026
HG03786	W3a1b	0.7916
HG03787	M39b	0.7239
HG03788	R30b2a	0.7217
HG03789	R6b	0.7261
HG03790	R5a1a	0.7968
HG03792	M4a	0.7174
HG03793	A21	0.7347
HG03796	M47	0.6515
HG03800	M35a	0.7974
HG03802	U2b2	0.8044
HG03803	M30+16234	0.8226
HG03805	M4	0.7722
HG03808	M65a1	0.7508
HG03809	M38b	0.8325
HG03812	R5a2a	0.7588
HG03814	M5a	0.7907
HG03815	W3a1b	0.8093
HG03817	U2c1a	0.7306
HG03821	R6b	0.7665
HG03823	U2b2	0.8473
HG03824	M3	0.7669
HG03826	U2b2	0.8088
HG03829	U2a1a	0.7955
HG03830	M30d1	0.8155
HG03832	M35b4	0.8301
HG03833	J1b	0.8190
HG03836	R5a2b	0.8723
HG03837	R6a	0.7312
HG03838	M39b1	0.7206
HG03844	H13a2a	0.7458
HG03846	M30f	0.8197
HG03848	M30b	0.8287
HG03849	H13a2a	0.7254
HG03850	R7	0.6090
HG03851	R7	0.6653
HG03854	R31b	0.7985
HG03856	M35b+16304	0.8316
HG03857	M2a1a	0.7582
HG03858	M42b	0.7086
HG03861	U2b	0.7769
HG03862	U1a1c1d	0.8452
HG03863	M5a2a	0.7325
HG03864	R8b1	0.8019
HG03866	M2a1a	0.7305
HG03867	M18a	0.8169
HG03868	J1b1b3	0.8624
HG03869	M35a	0.8548
HG03870	M39b1	0.7291
HG03871	M30+16234	0.7631
HG03872	R30a1c	0.7210
HG03873	HV14	0.6565
HG03874	R30b2a	0.6500
HG03875	M3c2	0.8046
HG03882	M35a	0.7891
HG03884	M34	0.7727
HG03885	M5a	0.7992
HG03886	U1a	0.8683
HG03887	R	0.6612
HG03888	A1a	0.7984
HG03890	HV14	0.6565
HG03894	M30	0.8298
HG03895	HV14	0.7250
HG03896	M36	0.6755
HG03897	U5a1i1	0.8520
HG03898	M52a	0.6982
HG03899	M52a	0.6982
HG03900	HV14	0.6565
HG03902	J1b3b	0.8420
HG03905	M45a	0.6747
HG03907	M3	0.8191
HG03908	U2b2	0.8269
HG03910	M3d	0.7618
HG03911	R30a	0.6692
HG03913	M2a1a	0.7823
HG03914	M30	0.8158
HG03916	U9b1	0.8206
HG03917	M35	0.6779
HG03919	M30+16234	0.8249
HG03920	R6a	0.8024
HG03922	M33d	0.8433
HG03925	M3	0.8085
HG03926	M5a1b	0.8050
HG03928	M6	0.7657
HG03931	R5a2b	0.8340
HG03934	M30d1	0.7924
HG03937	R30a	0.6748
HG03940	M3	0.7999
HG03941	M30+16234	0.8317
HG03943	N21+195	0.7317
HG03944	M5a	0.7657
HG03945	M5a1b	0.8405
HG03947	R7b2	0.7282
HG03949	R30a1c	0.7306
HG03950	M2b	0.7820
HG03951	M2a1a	0.7305
HG03953	HV14	0.7448
HG03955	M5a1b	0.8239
HG03960	U2a	0.6802
HG03963	M39b	0.7136
HG03965	R7	0.6444
HG03967	M49d	0.8337
HG03968	M3a2	0.7231
HG03969	M5a2a	0.8430
HG03971	M	0.7818
HG03973	R5a2	0.7744
HG03974	M3d	0.7469
HG03976	M3d	0.7180
HG03977	M6a1a	0.7952
HG03978	M2a1a	0.7347
HG03985	U2a1b	0.7244
HG03986	M6	0.6887
HG03989	M33a2a	0.7454
HG03990	M30f	0.8556
HG03991	M5a1b	0.8239
HG03995	H13a2a	0.7714
HG03998	HV14	0.7250
HG03999	HV14	0.7448
HG04001	M18a	0.8403
HG04002	U2a1b	0.8081
HG04003	HV14	0.7028
HG04006	M5a	0.7446
HG04014	K1a4j	0.8451
HG04015	M36b	0.8186
HG04017	M3a2	0.7813
HG04018	R30a	0.6750
HG04019	M3d	0.7469
HG04020	M35b1	0.8045
HG04022	M4"67+16311	0.7270
HG04023	T2	0.7682
HG04025	T2	0.7569
HG04026	W3a1b	0.8043
HG04029	R7b2	0.7046
HG04033	M	0.6369
HG04035	R5a2b	0.8723
HG04038	U2b2	0.8178
HG04039	H2a	0.7190
HG04042	M2a1a	0.7628
HG04047	N5	0.8009
HG04054	M3a2	0.8059
HG04056	U7a3b	0.7997
HG04059	M35b+16304	0.8316
HG04060	M18a	0.8657
HG04061	R	0.6577
HG04062	M35a	0.8151
HG04063	M65b	0.8065
HG04070	M35b1	0.8529
HG04075	M36	0.7279
HG04076	M	0.7071
HG04080	M18a	0.8259
HG04090	M30	0.7799
HG04093	T1a1	0.8133
HG04094	M5b2	0.7935
HG04096	M3a2	0.8059
HG04098	U1a1c1d	0.8417
HG04099	U2c1a	0.7220
HG04100	M30c	0.8253
HG04106	U2b	0.7476
HG04107	U2b	0.7476
HG04118	U9a1	0.8376
HG04131	D4e1a2	0.8056
HG04134	U7a3a	0.8221
HG04140	M3c1a	0.8019
HG04141	M30+16234	0.8554
HG04144	M30d1	0.7859
HG04146	M18a	0.8414
HG04152	M5a2a	0.8031
HG04153	M34a	0.8232
HG04155	M3	0.7983
HG04156	W3a1b	0.8510
HG04158	U2b2	0.7600
HG04159	U5a1g1	0.8350
HG04161	M3d	0.8074
HG04162	F1c1a2	0.7685
HG04164	M3c2	0.7620
HG04171	M33b1	0.8045
HG04173	M2b2	0.8003
HG04176	M65a1	0.7731
HG04177	M65b	0.7685
HG04180	M40a1a	0.8353
HG04182	D4	0.7939
HG04183	M3	0.8414
HG04185	M35a	0.7952
HG04186	M3	0.7808
HG04188	M30b	0.8287
HG04189	R6b	0.7982
HG04194	M30c	0.7808
HG04195	M	0.6855
HG04198	M6a1a	0.7714
HG04200	U2b2	0.8473
HG04202	M33a2'3	0.7336
HG04206	M6	0.6686
HG04209	M39c	0.7132
HG04210	M3	0.7737
HG04211	M2a1a	0.7727
HG04212	U2b2	0.8092
HG04214	U2b2	0.7504
HG04216	M35	0.7208
HG04219	M6a1b	0.8427
HG04222	U2b2	0.8434
HG04225	HV14	0.7098
HG04227	R7a1	0.7711
HG04229	M65a+@16311	0.7865
HG04235	M4"67+16311	0.7847
HG04238	N1a2	0.8193
HG04239	W6	0.7358
NA06984	U5a1a	0.8509
NA06985	U4b1a1a	0.8433
NA06986	K1a2	0.8611
NA06989	U5b2a1a1a	0.8428
NA06994	U5b2a1a1	0.8634
NA07000	T2b	0.7821
NA07037	T1a6	0.8242
NA07048	H2a1	0.8092
NA07051	H24b	0.5680
NA07056	W1c1	0.8413
NA07347	H1c	0.7934
NA07357	U5a1c2a1	0.8646
NA10847	H3v1	0.7173
NA10851	HV0a	0.7581
NA11829	T2a1a	0.8066
NA11830	U5b2a1a1	0.8077
NA11831	H5'36	0.6874
NA11832	H2a5	0.7653
NA11840	H4a1a1a	0.7822
NA11843	J1c2c	0.8735
NA11881	H1c3b	0.6934
NA11892	K1b1a1d	0.8650
NA11893	V1b	0.6716
NA11894	T1a6	0.8153
NA11918	H2a1e	0.8011
NA11919	H1c1	0.7719
NA11920	H1a1a1	0.7660
NA11930	H1c3a	0.8171
NA11931	H3a1a	0.7624
NA11932	HV0+195	0.7071
NA11933	W5a1	0.7907
NA11992	U5a2d1a	0.8580
NA11994	T2b4b	0.8038
NA11995	H11a	0.7347
NA12003	T2b1	0.8101
NA12004	H+152	0.7102
NA12005	K2	0.8694
NA12006	H5b1	0.7453
NA12043	T1a1	0.8310
NA12044	J1c3c	0.8576
NA12045	H18b	0.7909
NA12046	T2b1	0.8317
NA12058	HV17a	0.7612
NA12144	H1j4	0.6854
NA12154	J1c5a1	0.9070
NA12155	H8c	0.6801
NA12156	U4b1b1	0.8407
NA12234	J1c1e	0.8811
NA12249	H1c1	0.7719
NA12272	H5a1p	0.7948
NA12273	J2a1a1a	0.8845
NA12275	H13a1a	0.7535
NA12282	J1b1a1	0.8629
NA12283	H3ag1	0.7294
NA12286	H1+16278	0.6276
NA12287	U2e1b2	0.8207
NA12340	H16a	0.8038
NA12341	H2a	0.6068
NA12342	I5a2	0.8214
NA12347	U2e1f1	0.8422
NA12348	U5a1	0.8804
NA12383	HV0a	0.7387
NA12399	H1c1	0.7185
NA12400	W1c1	0.8247
NA12413	W5a1	0.7271
NA12414	J2b1a3	0.8333
NA12489	HV15	0.6718
NA12546	H5	0.7341
NA12716	H1ae2	0.7201
NA12717	H1b1	0.7497
NA12718	U5a1b1	0.8488
NA12748	H1c1	0.7719
NA12749	H7a1b	0.6133
NA12750	T2+16189	0.7582
NA12751	U5a1a2b	0.8705
NA12760	H5a6	0.6512
NA12761	U5b1e	0.8144
NA12762	H8	0.7752
NA12763	T2b	0.8221
NA12775	W3a1	0.7939
NA12776	U3a1	0.8381
NA12777	H1ao	0.8115
NA12778	H52	0.6589
NA12812	H1+16189	0.6817
NA12813	U5a2a1	0.8180
NA12814	U5a1b1a2	0.8691
NA12815	H27	0.7648
NA12827	H6a1b3	0.7506
NA12828	H	0.7343
NA12829	H4a1a1	0.7799
NA12830	H47a	0.7403
NA12842	H66a	0.6555
NA12843	U5a2c3a	0.8299
NA12872	HV6	0.7222
NA12873	H11a6	0.8240
NA12874	J1c8a	0.8904
NA12878	H13a1a1a	0.7930
NA12889	H31a	0.7465
NA12890	H1+152	0.7165
NA18486	L1b1	0.7948
NA18488	L3e2b	0.8544
NA18489	L2a1a	0.8255
NA18498	L1b1a3b	0.7991
NA18499	L3e2a	0.7680
NA18501	L1b1a18	0.8246
NA18502	L3e2b1a2	0.7698
NA18504	L3e2b	0.8034
NA18505	L2a1f2	0.8091
NA18507	L1b1a3	0.8028
NA18508	L3b1a7	0.7654
NA18510	L0a1a+200	0.7736
NA18511	L2a1+16189  (16192)	0.8164
NA18516	L2b1a	0.7811
NA18517	L2c2b1a	0.8568
NA18519	L2a1+143+16189  (16192)	0.7931
NA18520	L3f1b4b	0.7933
NA18522	L2b1a	0.7703
NA18523	L2a1+143+@16309	0.8112
